nct_id,overall_count,female,male,<=18years,18-65years,>=65years,mean_age,age_number_analyzed
NCT00000125,3272,1410.0,1862.0,,,,55.4,22.333333333333332
NCT00000134,558,46.0,512.0,0.0,558.0,0.0,,
NCT00000135,418,44.0,374.0,0.0,418.0,0.0,,
NCT00000136,468,40.0,428.0,0.0,468.0,0.0,,
NCT00000142,128,10.0,118.0,0.0,128.0,0.0,,
NCT00000143,122,24.0,98.0,0.0,122.0,0.0,,
NCT00000371,110,22.0,88.0,0.0,110.0,0.0,46.46666666666667,22.333333333333332
NCT00000378,220,128.0,92.0,0.0,24.0,196.0,,
NCT00000392,430,20.0,410.0,,,,,
NCT00000479,79752,79752.0,0.0,0.0,71816.0,7936.0,53.9,55.0
NCT00000575,2082,840.0,1242.0,2082.0,0.0,0.0,8.925,33.5
NCT00000620,20502,7904.0,12598.0,,,,62.20000000000001,22.333333333333332
NCT00001151,6,3.0,3.0,,,,15.0,21.0
NCT00001213,328,,,,,,13.1,21.0
NCT00001259,118,118.0,0.0,0.0,118.0,0.0,,
NCT00001262,120,2.0,118.0,120.0,0.0,0.0,,
NCT00001277,3106,1994.0,1112.0,,,,50.0,612.6666666666666
NCT00001304,54,34.0,20.0,6.0,46.0,2.0,,
NCT00001305,42,26.0,16.0,42.0,0.0,0.0,,
NCT00001322,92,92.0,0.0,0.0,92.0,0.0,,
NCT00001337,696,306.0,390.0,10.0,606.0,80.0,49.7075,33.5
NCT00001521,124,46.0,78.0,124.0,0.0,0.0,,
NCT00001566,42,17.0,25.0,26.0,16.0,0.0,18.67,21.0
NCT00001575,87,34.0,53.0,0.0,70.0,17.0,36.0,21.0
NCT00001586,210,80.0,130.0,0.0,156.0,54.0,57.53333333333333,22.333333333333332
NCT00001596,70,42.0,28.0,0.0,68.0,2.0,41.516666666666666,22.333333333333332
NCT00001656,50,20.0,30.0,50.0,0.0,0.0,12.233333333333334,22.333333333333332
NCT00001703,6,1.0,5.0,0.0,6.0,0.0,62.0,21.0
NCT00001723,400,262.0,138.0,400.0,0.0,0.0,14.586666666666666,22.333333333333332
NCT00001832,220,76.0,144.0,2.0,216.0,2.0,44.81333333333334,25.6
NCT00001849,68,34.0,34.0,,,,48.1,21.0
NCT00001880,42,20.0,22.0,,,,50.0,21.0
NCT00001941,34,17.0,17.0,1.0,29.0,4.0,47.37,21.0
NCT00001959,18,7.0,11.0,,,,47.0,21.0
NCT00001962,100,49.0,51.0,27.0,57.0,16.0,,
NCT00001984,5,2.0,3.0,0.0,5.0,0.0,40.0,21.0
NCT00002525,628,,,,,,64.66666666666667,22.333333333333332
NCT00002540,153370,0.0,153370.0,0.0,97580.0,55790.0,62.7,230.5
NCT00002558,216,6.0,210.0,6.0,210.0,0.0,,
NCT00002597,3958,0.0,3958.0,,,,70.66666666666667,22.333333333333332
NCT00002601,13,3.0,10.0,,,,31.0,21.0
NCT00002651,3070,0.0,3070.0,,,,70.0,22.333333333333332
NCT00002663,100,38.0,62.0,,,,,
NCT00002766,340,134.0,206.0,14.0,306.0,20.0,,
