nct_id,overall_status,number_of_arms,intervention_count,has_multiple_intervention_types,log_enrollment,log_duration,high_enroll_flag_975,high_enroll_flag_99,has_dmc,has_expanded_access,healthy_volunteers,is_fda_regulated_drug,is_fda_regulated_device,phase_grouped,intervention_grouped,condt_grouped,allocation_grouped,masking_grouped,model_grouped,purpose_grouped,sponsor_grouped,elig_gender_grouped,elig_age_grouped
NCT00444340,1,2.0,1,0,4.262679877041316,7.079184394609668,0,0,-1,0,0.0,-1,-1,4,drug,musculoskeletal_disorders,non_randomized,unknown,single_group,treatment,Industry,all,adult
NCT01071291,1,2.0,1,0,3.6375861597263857,5.3612921657094255,0,0,0,0,1.0,-1,-1,1,drug,cardiovascular_diseases,randomized,double,crossover,treatment,Industry,male,adult
NCT03026049,0,2.0,1,0,4.189654742026425,7.422971251049421,0,0,1,0,0.0,0,0,not applicable,device,others,randomized,single,parallel,treatment,Other,all,adult
NCT04605926,0,2.0,1,0,0.0,5.3612921657094255,0,0,1,0,0.0,1,0,3,biological,infectious_diseases,randomized,quadruple,parallel,treatment,Industry,all,adult
NCT00523757,1,2.0,1,0,2.19722457733622,6.894670039433482,0,0,0,0,0.0,-1,-1,3,drug,cardiovascular_diseases,randomized,quadruple,parallel,treatment,Other,all,mixed
NCT00270400,1,1.0,1,0,5.545177444479562,5.220355825078324,0,0,-1,0,0.0,-1,-1,3,drug,cardiovascular_diseases,randomized,unknown,parallel,treatment,Industry,all,adult
NCT01498640,1,2.0,1,0,3.970291913552122,6.363028103540465,0,0,0,0,0.0,-1,-1,4,biological,others,non_randomized,unknown,single_group,treatment,Industry,all,adult
NCT00859222,1,7.0,1,0,3.951243718581428,7.810758116529357,0,0,1,0,0.0,-1,-1,2,drug,cancers,non_randomized,unknown,single_group,treatment,Multiple,all,adult
NCT02235441,0,1.0,1,0,2.19722457733622,6.22455842927536,0,0,0,0,0.0,-1,-1,not applicable,other,Multiple,non_randomized,unknown,single_group,supportive_care,Other,all,adult
NCT05144048,1,2.0,1,0,5.713732805509369,6.182084906716632,0,0,1,0,0.0,0,0,not applicable,other,others,randomized,unknown,parallel,treatment,Multiple,female,adult
NCT01141803,1,3.0,1,0,3.6375861597263857,6.71295620067707,0,0,0,0,1.0,-1,-1,not applicable,dietary_supplement,cardiovascular_diseases,randomized,single,parallel,prevention,Other,all,adult
NCT02539186,1,2.0,2,1,4.110873864173311,6.637258031284457,0,0,1,0,0.0,-1,-1,not applicable,Multiple,neurological_disorders,randomized,single,parallel,treatment,Other,all,mixed
NCT02713113,1,3.0,1,0,5.198497031265826,5.905361848054571,0,0,1,0,0.0,-1,-1,3,drug,others,randomized,double,parallel,research,Other,all,adult
NCT01485276,0,2.0,1,0,0.0,6.903747257584598,0,0,-1,0,0.0,-1,-1,1,procedure,neurological_disorders,non_randomized,unknown,single_group,treatment,Government,all,adult
NCT02553616,1,1.0,1,0,6.401917196727186,7.129297548929373,0,0,1,0,1.0,0,0,not applicable,behavioral,mental_disorders,randomized,unknown,sequential,prevention,Other,all,adult
NCT02400229,1,2.0,1,0,8.173857454773621,7.765993079407675,1,0,1,0,0.0,-1,-1,not applicable,procedure,cardiovascular_diseases,randomized,single,parallel,diagnostic,Other,all,adult
NCT00745264,1,4.0,1,0,4.394449154672439,5.365976015021851,0,0,-1,0,1.0,-1,-1,1,drug,others,randomized,unknown,parallel,other,Industry,all,adult
NCT02273037,1,2.0,2,1,7.59488438721652,6.55250788703459,1,0,0,0,1.0,-1,-1,not applicable,Multiple,others,randomized,unknown,parallel,diagnostic,Other,female,unknown
NCT02081573,1,1.0,1,0,2.3978952727983707,7.15305163493748,0,0,0,0,0.0,-1,-1,not applicable,behavioral,endocrine/metabolic_disorders,non_randomized,unknown,single_group,treatment,Other,all,adult
NCT00901498,1,5.0,1,0,3.610917912644224,4.127134385045092,0,0,0,0,1.0,-1,-1,1,drug,neurological_disorders,randomized,unknown,crossover,other,Industry,male,adult
NCT02963220,1,1.0,1,0,3.58351893845611,7.2875606403097235,0,0,1,0,0.0,-1,-1,not applicable,behavioral,others,non_randomized,unknown,single_group,treatment,Other,all,mixed
NCT01271829,1,3.0,1,0,3.4339872044851463,6.413458957167357,0,0,1,0,1.0,-1,-1,not applicable,dietary_supplement,Multiple,randomized,single,crossover,other,Other,all,adult
NCT00129675,1,1.0,1,0,5.135798437050262,7.732807530422021,0,0,0,0,0.0,-1,-1,2,drug,neurological_disorders,non_randomized,single,single_group,diagnostic,Other,all,adult
NCT03734848,1,2.0,1,0,3.713572066704308,6.943122422819428,0,0,0,0,1.0,0,0,1,drug,Multiple,randomized,double,parallel,supportive_care,Other,all,mixed
NCT01914692,1,2.0,1,0,1.0986122886681098,5.204006687076795,0,0,1,0,1.0,-1,-1,4,drug,cancers,randomized,triple,parallel,treatment,Other,all,mixed
NCT00507390,0,2.0,1,0,0.0,6.361302477572996,0,0,1,0,0.0,-1,-1,4,dietary_supplement,Multiple,randomized,double,crossover,treatment,Other,all,mixed
NCT00022152,1,1.0,1,0,3.258096538021482,7.649692623711514,0,0,0,0,0.0,-1,-1,2,drug,cancers,non_randomized,unknown,single_group,treatment,Multiple,female,adult
NCT03225560,1,2.0,1,0,5.476463551931511,7.334329350300536,0,0,0,0,0.0,0,0,not applicable,other,Multiple,randomized,triple,parallel,treatment,Other,all,adult
NCT01894542,1,3.0,1,0,4.02535169073515,7.746732907753622,0,0,0,0,1.0,-1,-1,not applicable,dietary_supplement,endocrine/metabolic_disorders,randomized,double,parallel,treatment,Multiple,all,adult
NCT00234026,1,2.0,1,0,3.871201010907891,5.613128106388071,0,0,1,0,0.0,-1,-1,2,drug,cancers,unknown,unknown,unknown,treatment,Other,all,adult
NCT02103595,1,2.0,1,0,4.394449154672439,5.488937726156687,0,0,-1,0,0.0,-1,0,not applicable,device,endocrine/metabolic_disorders,randomized,unknown,crossover,diagnostic,Industry,all,mixed
NCT00964210,1,2.0,1,0,5.484796933490655,7.027314514039777,0,0,1,0,0.0,-1,-1,3,drug,cancers,non_randomized,unknown,single_group,prevention,Multiple,female,mixed
NCT00115557,1,2.0,1,0,3.218875824868201,6.459904454377535,0,0,0,0,1.0,-1,-1,not applicable,other,others,randomized,unknown,parallel,prevention,Government,all,adult
NCT06237023,1,2.0,1,0,10.961902651452824,6.884486652042782,1,1,-1,0,0.0,0,0,not applicable,other,Multiple,non_randomized,triple,crossover,diagnostic,Government,all,unknown
NCT03615339,1,1.0,1,0,3.1354942159291497,4.736198448394496,0,0,0,0,1.0,0,0,not applicable,dietary_supplement,,non_randomized,unknown,single_group,research,Multiple,all,adult
NCT00621257,0,5.0,1,0,4.90527477843843,7.052721049232323,0,0,1,0,0.0,-1,-1,not applicable,dietary_supplement,gastrointestinal_disorders,randomized,unknown,parallel,treatment,Multiple,all,mixed
NCT00397566,0,2.0,1,0,0.0,0.0,0,0,-1,-1,0.0,-1,-1,2,drug,infectious_diseases,,,,,Industry,all,adult
NCT00211458,1,2.0,1,0,3.871201010907891,6.594413459749778,0,0,0,0,-1.0,-1,-1,2,drug,opthamological_disorders,non_randomized,unknown,single_group,treatment,Multiple,all,adult
NCT01526733,1,2.0,1,0,3.258096538021482,6.46302945692067,0,0,0,0,0.0,-1,-1,4,drug,endocrine/metabolic_disorders,randomized,triple,crossover,treatment,Industry,all,adult
NCT01718899,1,3.0,1,0,3.1354942159291497,7.244941546337007,0,0,1,0,0.0,-1,-1,1,biological,others,non_randomized,unknown,single_group,treatment,Industry,all,mixed
NCT04269382,1,1.0,1,0,4.897839799950911,6.1463292576688975,0,0,0,0,0.0,0,0,not applicable,device,Multiple,non_randomized,unknown,single_group,diagnostic,Other,all,adult
NCT00696475,1,4.0,1,0,4.394449154672439,5.613128106388071,0,0,0,0,0.0,-1,-1,2,drug,cardiovascular_diseases,randomized,quadruple,parallel,treatment,Industry,all,mixed
NCT03381118,0,2.0,2,1,2.833213344056216,6.126869184114185,0,0,0,0,0.0,0,0,2,Multiple,cancers,randomized,unknown,parallel,treatment,Other,all,mixed
NCT02013024,1,2.0,1,0,6.035481432524756,6.881411303642535,0,0,0,0,0.0,-1,-1,not applicable,other,others,randomized,single,parallel,treatment,Other,female,adult
NCT04182191,1,1.0,1,0,4.499809670330265,6.415096959171596,0,0,1,0,1.0,0,0,4,drug,Multiple,non_randomized,unknown,single_group,supportive_care,Other,all,adult
NCT03049332,1,1.0,1,0,4.418840607796598,6.413458957167357,0,0,0,0,0.0,0,0,not applicable,behavioral,infectious_diseases,non_randomized,unknown,single_group,supportive_care,Multiple,female,adult
NCT03755037,1,3.0,1,0,5.017279836814924,6.12029741895095,0,0,1,0,0.0,1,0,1,drug,reproductive_health,randomized,double,parallel,treatment,Other,female,adult
NCT04242446,1,4.0,2,1,6.226536669287466,7.00033446027523,0,0,1,0,0.0,1,0,3,Multiple,dermatological_disorders,randomized,quadruple,parallel,treatment,Industry,all,adult
NCT01167829,1,1.0,1,0,2.70805020110221,6.553933404025811,0,0,0,0,1.0,-1,-1,1,drug,,non_randomized,unknown,single_group,research,Multiple,male,adult
NCT04302805,1,2.0,2,1,2.8903717578961645,7.258412150595307,0,0,1,0,0.0,0,0,3,Multiple,others,randomized,unknown,parallel,prevention,Government,all,mixed
NCT01584986,1,2.0,1,0,3.1354942159291497,6.056784013228625,0,0,0,0,0.0,-1,-1,2,biological,cardiovascular_diseases,randomized,unknown,parallel,treatment,Industry,all,unknown
NCT04596540,1,3.0,2,1,5.0369526024136295,6.651571873589727,0,0,1,0,0.0,1,0,3,Multiple,musculoskeletal_disorders,randomized,quadruple,parallel,treatment,Industry,all,mixed
NCT01075802,1,1.0,1,0,4.804021044733257,6.914730892718563,0,0,1,0,0.0,-1,-1,not applicable,drug,Multiple,non_randomized,unknown,single_group,diagnostic,Other,all,adult
NCT01777568,1,2.0,1,0,8.656955133791396,7.2875606403097235,1,1,0,0,0.0,-1,-1,not applicable,drug,others,randomized,single,parallel,supportive_care,Other,all,mixed
NCT01128764,1,2.0,1,0,3.610917912644224,7.2875606403097235,0,0,1,0,0.0,-1,-1,1,behavioral,Multiple,randomized,single,parallel,treatment,Multiple,all,mixed
NCT02399397,1,3.0,2,1,3.610917912644224,6.505784060128229,0,0,1,0,0.0,-1,-1,4,Multiple,Multiple,non_randomized,unknown,parallel,treatment,Other,all,adult
NCT01387295,1,1.0,1,0,3.6635616461296463,7.898782356970309,0,0,1,0,0.0,-1,-1,2,drug,cancers,non_randomized,unknown,single_group,treatment,Other,all,adult
NCT02724293,1,4.0,1,0,4.110873864173311,6.056784013228625,0,0,0,0,0.0,-1,-1,2,drug,pain_disorders,randomized,triple,crossover,treatment,Other,all,adult
NCT00965081,1,2.0,1,0,5.733341276897746,6.056784013228625,0,0,0,0,0.0,-1,-1,4,drug,musculoskeletal_disorders,randomized,quadruple,parallel,treatment,Industry,all,adult
NCT00544622,1,2.0,1,0,4.007333185232471,6.052089168924417,0,0,1,0,-1.0,-1,-1,not applicable,procedure,neurological_disorders,non_randomized,unknown,single_group,other,Other,all,adult
NCT06337747,1,2.0,1,0,3.218875824868201,5.831882477283517,0,0,-1,0,1.0,0,0,not applicable,device,others,,,,,Other,all,mixed
NCT04658914,1,4.0,1,0,6.580639137284949,6.486160788944089,1,0,1,0,1.0,0,0,2,biological,Multiple,randomized,unknown,parallel,prevention,Multiple,all,child
NCT05167396,0,3.0,1,0,3.555348061489413,6.293419278846481,0,0,0,0,1.0,0,0,not applicable,device,Multiple,non_randomized,unknown,parallel,diagnostic,Multiple,all,adult
NCT02285933,1,2.0,1,0,4.343805421853684,6.688354713946762,0,0,0,0,0.0,-1,-1,not applicable,other,neurological_disorders,randomized,single,parallel,treatment,Other,all,adult
NCT05696938,1,2.0,1,0,4.262679877041316,4.248495242049359,0,0,0,0,1.0,0,0,not applicable,dietary_supplement,dermatological_disorders,randomized,double,parallel,supportive_care,Government,female,adult
NCT03896724,1,3.0,1,0,6.111467339502679,7.328437352895162,0,0,1,0,1.0,0,0,2,biological,others,randomized,double,parallel,treatment,Multiple,all,child
NCT01773811,1,3.0,1,0,3.912023005428146,6.710523109452428,0,0,0,0,0.0,-1,-1,not applicable,behavioral,mental_disorders,randomized,unknown,parallel,treatment,Other,all,adult
NCT02058810,0,2.0,1,0,3.8501476017100575,7.199678345691172,0,0,0,0,0.0,-1,-1,not applicable,device,cardiovascular_diseases,randomized,unknown,parallel,treatment,Other,all,adult
NCT00799760,0,3.0,1,0,6.295266001439646,6.55250788703459,0,0,1,0,0.0,-1,-1,3,drug,infectious_diseases,randomized,triple,parallel,treatment,Multiple,all,adult
NCT02664415,1,2.0,1,0,3.1780538303479458,5.863631175598097,0,0,1,0,0.0,-1,-1,2,biological,infectious_diseases,randomized,quadruple,parallel,treatment,Government,all,adult
NCT03622918,1,2.0,1,0,2.302585092994046,6.401917196727186,0,0,1,0,1.0,-1,-1,not applicable,drug,Multiple,randomized,unknown,crossover,treatment,Other,all,adult
NCT03787342,1,4.0,1,0,3.6635616461296463,6.941190055068375,0,0,0,0,1.0,0,0,not applicable,procedure,others,randomized,double,parallel,treatment,Other,all,adult
NCT05271006,1,2.0,1,0,5.666426688112432,5.564520407322694,0,0,-1,0,1.0,0,0,not applicable,behavioral,Multiple,randomized,double,parallel,prevention,Other,all,adult
NCT01647828,1,2.0,1,0,5.384495062789089,7.153833801578843,0,0,1,0,0.0,-1,-1,2,drug,cancers,randomized,double,parallel,treatment,Industry,all,mixed
NCT04267172,1,3.0,2,1,5.497168225293202,6.598509028614515,0,0,1,0,0.0,0,0,not applicable,Multiple,musculoskeletal_disorders,randomized,single,parallel,treatment,Other,all,adult
NCT02255513,1,2.0,1,0,3.784189633918261,5.0369526024136295,0,0,0,0,0.0,-1,-1,3,drug,mental_disorders,randomized,double,parallel,treatment,Other,all,child
NCT03206762,1,2.0,1,0,3.871201010907891,7.53689712956617,0,0,1,0,1.0,0,1,not applicable,device,cardiovascular_diseases,randomized,single,parallel,treatment,Other,all,adult
NCT03537898,1,2.0,1,0,7.646831391430482,5.616771097666572,1,0,0,0,0.0,0,0,not applicable,other,Multiple,randomized,unknown,crossover,treatment,Other,all,adult
NCT02785276,0,2.0,3,1,0.0,6.594413459749778,0,0,0,0,0.0,-1,-1,not applicable,Multiple,Multiple,randomized,quadruple,parallel,research,Other,all,adult
NCT01496508,1,2.0,1,0,5.8888779583328805,7.2875606403097235,0,0,1,0,0.0,-1,-1,2,device,respiratory_disorders,randomized,single,parallel,prevention,Other,all,unknown
NCT05486195,1,7.0,1,0,3.49650756146648,5.8971538676367405,0,0,0,0,1.0,0,0,1,drug,others,randomized,triple,sequential,treatment,Multiple,male,adult
NCT00049335,1,1.0,1,0,3.4011973816621555,7.366445148327599,0,0,1,0,0.0,-1,-1,2,drug,cancers,non_randomized,unknown,single_group,treatment,Multiple,all,adult
NCT03253471,0,2.0,1,0,3.218875824868201,4.30406509320417,0,0,0,0,1.0,0,0,1,drug,gastrointestinal_disorders,randomized,quadruple,parallel,treatment,Industry,all,mixed
NCT01425853,1,2.0,1,0,6.408528791059498,6.411818267709897,0,0,1,0,0.0,-1,-1,4,drug,musculoskeletal_disorders,randomized,quadruple,parallel,treatment,Industry,all,adult
NCT03063996,1,2.0,1,0,3.4011973816621555,6.19644412779452,0,0,0,0,1.0,0,0,not applicable,procedure,others,randomized,unknown,parallel,supportive_care,Other,all,adult
NCT02673138,1,2.0,2,1,2.3978952727983707,6.306275286948016,0,0,0,0,0.0,-1,-1,not applicable,Multiple,endocrine/metabolic_disorders,non_randomized,unknown,single_group,treatment,Multiple,all,adult
NCT03125629,1,4.0,2,1,3.9889840465642745,7.640603826393634,0,0,1,0,0.0,1,1,2,Multiple,Multiple,non_randomized,unknown,parallel,diagnostic,Other,all,adult
NCT00982982,1,2.0,1,0,2.8903717578961645,7.29505641646263,0,0,1,0,1.0,1,0,1,drug,mental_disorders,randomized,quadruple,crossover,research,Other,male,adult
NCT00865579,0,1.0,1,0,6.872128101338986,7.05444965813294,0,0,-1,0,0.0,-1,-1,3,drug,neurological_disorders,non_randomized,unknown,single_group,treatment,Industry,all,adult
NCT03657797,1,4.0,1,0,6.48768401848461,5.961005339623274,1,0,0,0,0.0,1,0,2,drug,Multiple,randomized,quadruple,parallel,treatment,Industry,all,mixed
NCT04045704,0,2.0,1,0,0.0,4.127134385045092,0,0,-1,0,1.0,0,0,not applicable,procedure,opthamological_disorders,non_randomized,unknown,single_group,treatment,Other,all,adult
NCT01256229,1,3.0,1,0,5.717027701406222,7.846980982138788,1,1,-1,0,0.0,-1,-1,1,device,others,randomized,unknown,parallel,treatment,Multiple,all,child
NCT01449695,1,3.0,1,0,6.042632833682381,7.027314514039777,0,0,0,0,0.0,-1,-1,not applicable,behavioral,cardiovascular_diseases,randomized,unknown,parallel,prevention,Other,all,adult
NCT02917551,1,2.0,1,0,4.90527477843843,7.0967213784947605,0,0,0,0,0.0,-1,-1,not applicable,other,infectious_diseases,randomized,unknown,parallel,treatment,Other,all,unknown
NCT04162093,1,1.0,1,0,3.828641396489095,7.422971251049421,0,0,1,0,0.0,0,0,not applicable,procedure,cancers,non_randomized,unknown,single_group,treatment,Other,all,mixed
NCT01131884,0,2.0,1,0,0.6931471805599453,6.818924065275521,0,0,0,0,0.0,-1,-1,not applicable,drug,Multiple,randomized,triple,parallel,prevention,Other,all,mixed
NCT00759785,1,2.0,1,0,3.8918202981106265,6.226536669287466,0,0,0,0,0.0,-1,-1,1,drug,cancers,randomized,unknown,parallel,treatment,Industry,female,adult
NCT04173689,1,2.0,2,1,3.218875824868201,6.278521424165844,0,0,0,0,0.0,0,0,not applicable,Multiple,respiratory_disorders,randomized,single,parallel,other,Other,all,mixed
NCT02662452,1,4.0,1,0,3.713572066704308,4.804021044733257,0,0,0,0,1.0,-1,-1,1,drug,,randomized,quadruple,parallel,treatment,Industry,male,adult
NCT03287232,1,2.0,1,0,6.483107351457199,6.4692503167957724,0,0,0,0,0.0,1,0,3,drug,others,randomized,quadruple,parallel,treatment,Industry,female,mixed
NCT02669667,1,6.0,1,0,3.80666248977032,6.175867270105761,0,0,0,0,1.0,-1,-1,1,drug,others,randomized,double,parallel,research,Industry,all,adult
NCT01724307,1,2.0,1,0,0.6931471805599453,6.675823221634848,0,0,0,0,0.0,-1,-1,not applicable,procedure,respiratory_disorders,non_randomized,unknown,parallel,treatment,Other,all,mixed
