Col1,Col2,Chi2,p_value,Cramers_v
intervention_grouped,condt_grouped,9407.68,0,0.189
phase_grouped,condt_grouped,7977.48,0,0.174
intervention_grouped,model_grouped,7594.18,0,0.17
condt_grouped,model_grouped,7095.81,0,0.164
condt_grouped,purpose_grouped,6782.58,0,0.161
phase_grouped,intervention_grouped,6452.81,0,0.157
phase_grouped,model_grouped,6509.26,0,0.157
intervention_grouped,allocation_grouped,6457.81,0,0.157
condt_grouped,masking_grouped,6442.54,0,0.156
intervention_grouped,purpose_grouped,6272.97,0,0.154
condt_grouped,allocation_grouped,6176.39,0,0.153
intervention_grouped,masking_grouped,6151.07,0,0.153
condt_grouped,elig_age_grouped,5751.61,0,0.148
phase_grouped,allocation_grouped,5784.36,0,0.148
condt_grouped,sponsor_grouped,5677.5,0,0.147
intervention_grouped,sponsor_grouped,5640.39,0,0.146
condt_grouped,elig_gender_grouped,5574.63,0,0.146
phase_grouped,purpose_grouped,5169.33,0,0.14
phase_grouped,masking_grouped,4983.13,0,0.138
intervention_grouped,elig_age_grouped,4938.98,0,0.137
intervention_grouped,elig_gender_grouped,4946.69,0,0.137
model_grouped,purpose_grouped,4787.51,0,0.135
phase_grouped,sponsor_grouped,4694.31,0,0.134
allocation_grouped,purpose_grouped,4078.28,0,0.124
masking_grouped,purpose_grouped,4029.08,0,0.124
phase_grouped,elig_gender_grouped,3969.94,0,0.123
phase_grouped,elig_age_grouped,3962.04,0,0.123
masking_grouped,model_grouped,3909.76,0,0.122
model_grouped,sponsor_grouped,3404.66,0,0.114
model_grouped,elig_age_grouped,3284.44,0,0.112
allocation_grouped,model_grouped,3122.43,0,0.109
model_grouped,elig_gender_grouped,3038.64,0,0.107
allocation_grouped,masking_grouped,2792.92,0,0.103
purpose_grouped,elig_age_grouped,2542.66,0,0.098
purpose_grouped,sponsor_grouped,2450.51,0,0.097
allocation_grouped,elig_age_grouped,2369.31,0,0.095
purpose_grouped,elig_gender_grouped,2355.78,0,0.095
masking_grouped,elig_age_grouped,2244.45,0,0.092
allocation_grouped,elig_gender_grouped,2167.0,0,0.091
allocation_grouped,sponsor_grouped,2192.45,0,0.091
masking_grouped,elig_gender_grouped,2051.75,0,0.088
masking_grouped,sponsor_grouped,1988.33,0,0.087
elig_age_grouped,elig_gender_grouped,744.56,7.9e-150,0.053
sponsor_grouped,elig_age_grouped,639.42,2.5e-120,0.049
sponsor_grouped,elig_gender_grouped,433.38,2e-84,0.041
