Category,Total_success,Total_failure,Median_success,IQR_success,Median_failure,IQR_failure,U_stat,p_value,Effect_size_r
behavioral,26382,1798,90.0,191.0,5.0,30.75,4.08e+07,0,0.305
diagnostic_test,1854,262,80.0,155.25,4.0,36.75,4.06e+05,1.3e-69,0.383
biological,8743,1446,75.0,272.0,5.0,22.0,1.08e+07,0,0.429
Multiple,27721,6743,60.0,111.0,7.0,30.0,1.54e+08,0,0.447
drug,85018,17924,60.0,122.0,11.0,41.0,1.19e+09,0,0.367
procedure,13666,1957,60.0,92.0,6.0,40.0,2.16e+07,0,0.351
other,29982,2636,57.0,90.0,7.0,36.0,6.37e+07,0,0.289
device,22477,4299,50.0,80.0,6.0,30.0,7.74e+07,0,0.382
genetic,271,69,48.0,136.0,5.0,12.0,1.55e+04,4.5e-17,0.455
combination_product,583,107,48.0,75.0,3.0,13.0,5.40e+04,2.2e-33,0.458
dietary_supplement,7413,546,45.0,67.0,6.0,24.0,3.33e+06,2e-139,0.282
radiation,937,302,44.0,79.0,5.0,20.0,2.39e+05,3.7e-73,0.514
